lon,lat,depth,pdf
-125.2,38.0,8.88196086884,4.88743628690122e-11
-125.1,38.0,8.88196086884,1.31961502241247e-10
-125.0,38.0,8.88196086884,3.35536466356942e-10
-124.9,38.0,8.88196086884,8.03437179555938e-10
-124.8,38.0,8.88196086884,1.81123141178419e-09
-124.7,38.0,10.14181423190,3.84502706008344e-09
-124.6,38.0,11.43437862400,7.68509922859572e-09
-124.5,38.0,13.10266971590,1.44618156445299e-08
-124.4,38.0,14.43468093870,2.56271169075746e-08
-124.3,38.0,16.31011390690,4.27544545866127e-08
-124.2,38.0,17.68427658080,6.71660132898821e-08
-124.1,38.0,19.09505653380,9.93410109260162e-08
-124.0,38.0,21.27030372620,1.38352473844937e-07
-123.9,38.0,22.88247108460,1.81411786184312e-07
-123.8,38.0,24.62518882750,2.23976309435867e-07
-123.7,38.0,27.20420646670,2.60367900493530e-07
-123.6,38.0,29.27189826970,2.84985769033296e-07
-123.5,38.0,31.50145530700,2.93693519544123e-07
-123.4,38.0,34.66586303710,2.84985554527384e-07
-123.3,38.0,37.24055480960,2.60367646986543e-07
-123.2,38.0,40.84117507930,2.23982042593890e-07
-123.1,38.0,43.63131713870,1.81411626279904e-07
-123.0,38.0,46.41304779050,1.38352403643001e-07
-122.9,38.0,50.27674484250,9.93460479148504e-08
-122.8,38.0,53.00573730470,6.71660405906347e-08
-122.7,38.0,55.70006179810,4.27544857874727e-08
-122.6,38.0,59.67330551150,2.56271286078970e-08
-122.5,38.0,62.57938766480,1.44630792793593e-08
-122.4,38.0,65.78197479250,7.68510254368710e-09
-122.3,38.0,71.05035400390,3.84502628006194e-09
-122.2,38.0,75.57475280760,1.81123016374980e-09
-122.1,38.0,83.16529846190,8.03424777214093e-10
-122.0,38.0,90.00304412840,3.35559788999781e-10
-121.9,38.0,98.13871002200,1.31941108579139e-10
-121.8,38.0,110.70532989500,4.88548993825421e-11
-125.2,38.1,8.88196086884,1.69727573083554e-10
-125.1,38.1,8.88196086884,4.57637697320551e-10
-125.0,38.1,8.88196086884,1.16212550304513e-09
-124.9,38.1,8.88196086884,2.77935622710842e-09
-124.8,38.1,8.88196086884,6.25864758645654e-09
-124.7,38.1,10.14181423190,1.32726048114346e-08
-124.6,38.1,11.43437862400,2.65023380812053e-08
-124.5,38.1,13.10266971590,4.98299711083433e-08
-124.4,38.1,14.43468093870,8.82303086328773e-08
-124.3,38.1,16.31011390690,1.47095069866207e-07
-124.2,38.1,17.68427658080,2.30935992764900e-07
-124.1,38.1,19.09505653380,3.41383449016720e-07
-124.0,38.1,21.27030372620,4.75224042551166e-07
-123.9,38.1,22.88247108460,6.22901905480838e-07
-123.8,38.1,24.62518882750,7.68809373113288e-07
-123.7,38.1,27.20420646670,8.93555578980066e-07
-123.6,38.1,29.27189826970,9.77918823775464e-07
-123.5,38.1,31.50145530700,1.00775569916618e-06
-123.4,38.1,34.66586303710,9.77918180257728e-07
-123.3,38.1,37.24055480960,8.93555013464482e-07
-123.2,38.1,40.84117507930,7.68828444638955e-07
-123.1,38.1,43.63131713870,6.22901125459339e-07
-123.0,38.1,46.41304779050,4.75223828045254e-07
-122.9,38.1,50.27674484250,3.41400453485412e-07
-122.8,38.1,53.00573730470,2.30935992764899e-07
-122.7,38.1,55.70006179810,1.47095122517658e-07
-122.6,38.1,59.67330551150,8.82303885850812e-08
-122.5,38.1,62.57938766480,4.98341208227215e-08
-122.4,38.1,65.78197479250,2.65023575817428e-08
-122.3,38.1,71.05035400390,1.32726057864615e-08
-122.2,38.1,75.57475280760,6.25864251631678e-09
-122.1,38.1,83.16529846190,2.77931157087757e-09
-122.0,38.1,90.00304412840,1.16220871183860e-09
-121.9,38.1,98.13871002200,4.57565642834521e-10
-121.8,38.1,110.70532989500,1.69658933141639e-10
-125.2,38.2,8.88196086884,5.34024461761044e-10
-125.1,38.2,8.88196086884,1.43793535266350e-09
-125.0,38.2,8.88196086884,3.64672180421617e-09
-124.9,38.2,8.88196086884,8.71103245128710e-09
-124.8,38.2,8.88196086884,1.95941829724401e-08
-124.7,38.2,10.14181423190,4.15094700712332e-08
-124.6,38.2,11.43437862400,8.28055808616666e-08
-124.5,38.2,13.10266971590,1.55554399129825e-07
-124.4,38.2,14.43468093870,2.75218905330241e-07
-124.3,38.2,16.31011390690,4.58506017253963e-07
-124.2,38.2,17.68427658080,7.19388166421676e-07
-124.1,38.2,19.09505653380,1.06287954553905e-06
-124.0,38.2,21.27030372620,1.47889944925266e-06
-123.9,38.2,22.88247108460,1.93773806767408e-06
-123.8,38.2,24.62518882750,2.39097162710383e-06
-123.7,38.2,27.20420646670,2.77834141913737e-06
-123.6,38.2,29.27189826970,3.04026191342488e-06
-123.5,38.2,31.50145530700,3.13289395163218e-06
-123.4,38.2,34.66586303710,3.04026171841951e-06
-123.3,38.2,37.24055480960,2.77833985909437e-06
-123.2,38.2,40.84117507930,2.39103032372168e-06
-123.1,38.2,43.63131713870,1.93773580561173e-06
