lon,lat,depth,pdf
-124.3,42.1,17.03685188290,2.59631884996345e-03
-124.2,42.1,18.97650527950,2.63545072483754e-03
-124.1,42.1,21.06258201600,2.63173561131220e-03
-124.0,42.1,23.34233856200,2.58277003175099e-03
-123.9,42.1,25.89683151250,2.48910985979526e-03
-123.8,42.1,28.83448219300,2.35453677678314e-03
-123.7,42.1,32.27085876460,2.18573043221528e-03
-123.6,42.1,36.29793548580,1.99176506517589e-03
-123.5,42.1,40.95199966430,1.78297562950169e-03
-123.4,42.1,46.19189834590,1.57004686094428e-03
-123.3,42.1,51.89660263060,1.36273006453377e-03
-123.2,42.1,57.88335037230,1.16905383696504e-03
-123.1,42.1,63.93936538700,9.94899662072209e-04
-123.0,42.1,69.85549926760,8.43624224130912e-04
-122.9,42.1,75.45189666750,7.16427438056859e-04
-122.8,42.1,80.59201812740,6.12620433458912e-04
-122.7,42.1,85.18879699710,5.30205925976210e-04
-122.6,42.1,89.21004486080,4.66438405328537e-04
-122.5,42.1,92.68856811520,4.18251345133640e-04
-122.4,42.1,95.73708343510,3.82605484963184e-04
-122.3,42.1,98.56189727780,3.56744371121830e-04
-124.3,42.2,17.08758544920,2.65003814906408e-03
-124.2,42.2,19.02101325990,2.69217946309736e-03
-124.1,42.2,21.09984207150,2.69057054035598e-03
-124.0,42.2,23.37055778500,2.64261227345597e-03
-123.9,42.2,25.91514968870,2.54874341742502e-03
-123.8,42.2,28.84516906740,2.41270778679260e-03
-123.7,42.2,32.28120040890,2.24121595407672e-03
-123.6,42.2,36.32091522220,2.04347890475868e-03
-123.5,42.2,41.00514221190,1.83005629376242e-03
-123.4,42.2,46.29434585570,1.61189773933251e-03
-123.3,42.2,52.06510543820,1.39904831516395e-03
-123.2,42.2,58.12843704220,1.19982529450289e-03
-123.1,42.2,64.26281738280,1.02035958216772e-03
-123.0,42.2,70.24982452390,8.64197529779479e-04
-122.9,42.2,75.90175628660,7.32674558026930e-04
-122.8,42.2,81.07720947270,6.25158698574223e-04
